City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,293.37,83,56,4.47,EC,1722901152
1,aripuana,-9.1667,-60.6333,299.19,37,2,1.14,BR,1722901153
2,wick,58.4333,-3.0833,285.18,100,75,2.06,GB,1722901154
3,nemuro,43.3236,145.575,290.4,97,89,3.37,JP,1722901155
4,yasinya,48.2794,24.3604,285.45,99,100,1.08,UA,1722901156
5,badger,64.8,-147.5333,303.35,32,20,4.63,US,1722901157
6,lindi,-10.0,39.7167,290.43,93,2,1.91,TZ,1722901159
7,masterton,-40.9597,175.6575,285.86,66,0,0.71,NZ,1722901160
8,atafu village,-8.5421,-172.5159,301.3,73,81,2.58,TK,1722901161
9,bredasdorp,-34.5322,20.0403,280.58,85,0,3.44,ZA,1722901162
10,palopo,-2.9996,120.1921,299.21,76,31,0.72,ID,1722900923
11,kulhudhuffushi,6.6221,73.07,300.94,78,100,4.2,MV,1722901164
12,victoria de durango,24.0333,-104.6667,302.94,21,40,3.6,MX,1722900930
13,alo,6.5486,4.2686,297.92,82,100,4.46,NG,1722901166
14,georgetown,5.4112,100.3354,300.9,78,40,5.14,MY,1722900966
15,stanley,54.868,-1.6985,292.33,85,20,2.57,GB,1722901127
16,west island,-12.1568,96.8225,299.14,73,20,4.63,CC,1722901169
17,grytviken,-54.2811,-36.5092,262.85,77,100,5.17,GS,1722901170
18,polyarnyy,69.1989,33.4478,281.39,74,3,1.8,RU,1722901074
19,fort mcmurray,56.7268,-111.381,293.92,52,0,6.17,CA,1722900777
20,duong dong,10.2167,103.9667,301.15,89,40,5.14,VN,1722901173
21,tiksi,71.6872,128.8694,288.04,64,100,3.23,RU,1722901174
22,papatowai,-46.5619,169.4708,284.67,58,22,3.58,NZ,1722901175
23,bilibino,68.0546,166.4372,278.05,57,95,0.51,RU,1722901117
24,tazacorte,28.629,-17.9293,295.69,93,20,5.66,ES,1722901178
25,shipunovo,52.1582,82.2173,289.29,86,71,2.86,RU,1722901179
26,kerikeri,-35.2268,173.9474,289.77,72,42,2.68,NZ,1722901180
27,tura,25.5198,90.2201,297.17,99,100,1.89,IN,1722901181
28,port-aux-francais,-49.35,70.2167,274.84,86,85,10.99,TF,1722901182
29,isafjordur,66.0755,-23.124,279.8,96,100,10.14,IS,1722901183
30,papao,-17.75,-149.55,300.74,76,6,6.91,PF,1722901184
31,sandnessjoen,66.0217,12.6316,287.44,70,59,6.84,NO,1722901185
32,thompson,55.7435,-97.8558,296.24,33,75,2.06,CA,1722901186
33,waitangi,-43.9535,-176.5597,283.61,85,56,2.24,NZ,1722901187
34,tralee,52.2704,-9.7026,283.59,96,2,2.37,IE,1722901188
35,edinburgh of the seven seas,-37.0676,-12.3116,286.71,95,97,10.61,SH,1722901115
36,norderney,53.7,7.15,290.36,85,6,6.04,DE,1722901190
37,holualoa,19.6228,-155.9522,299.06,84,40,4.12,US,1722901073
38,hotan,37.0997,79.9269,300.87,32,56,1.86,CN,1722901192
39,montmagny,48.9734,2.3469,294.31,52,0,1.54,FR,1722901193
40,iranshahr,27.2025,60.6848,303.31,57,44,1.79,IR,1722901195
41,alice,27.7523,-98.0697,306.77,46,55,5.22,US,1722901196
42,hermanus,-34.4187,19.2345,280.82,78,5,5.32,ZA,1722901197
43,blackmans bay,-43.0167,147.3167,283.56,68,100,0.45,AU,1722901198
44,lompoc,34.6391,-120.4579,297.36,72,0,6.17,US,1722901199
45,uturoa,-16.7333,-151.4333,298.99,78,37,7.52,PF,1722901200
46,labrador city,52.9463,-66.9114,285.1,76,100,4.63,CA,1722901201
47,howard springs,-12.497,131.047,298.64,81,37,3.6,AU,1722901202
48,colonia,50.9333,6.95,292.57,82,0,1.54,DE,1722901157
49,keflavik,64.0049,-22.5624,284.1,100,100,3.6,IS,1722901204
50,solnechnyy,50.7214,136.6319,293.07,99,100,1.77,RU,1722901205
51,adamstown,-25.066,-130.1015,292.24,72,42,5.96,PN,1722901206
52,saudarkrokur,65.7461,-19.6394,283.19,91,97,1.06,IS,1722901207
53,mariental,-24.6333,17.9667,281.79,44,0,4.48,NA,1722901208
54,enewetak,11.3474,162.3373,302.22,71,92,3.14,MH,1722901209
55,iqaluit,63.7506,-68.5145,281.0,75,100,2.57,CA,1722901210
